Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
58420,PSA-BBS PASS,20,BALU,BALUGAN,ECoR,08:27:00,08:32:00,149,PSA,PALASA,ECoR,BBS,BHUBANESWAR,ECoR
58534,PSA-CTC PASS,20,BALU,BALUGAN,ECoR,07:05:00,07:10:00,149,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
58417,PURI-GNPR PA,24,BALU,BALUGAN,ECoR,10:55:00,11:00:00,114,PURI,PURI,ECoR,GNPR,GUNUPUR,ECoR
58412,BAM-BBS PASS,1,BAM,BERHAMPUR,ECoR,14:45:00,14:45:00,0,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
58434,BAM-CTC  FAS,1,BAM,BERHAMPUR,ECoR,07:30:00,07:30:00,0,BAM,BERHAMPUR,ECoR,CTC,CUTTACK JN.,ECoR
78504,BAM-BBS PASS,1,BAM,BERHAMPUR,ECoR,00:00:00,05:45:00,0,BAM,BERHAMPUR,ECoR,BBS,BHUBANESWAR,ECoR
78505,BAM-PSA PASS,1,BAM,BERHAMPUR,ECoR,00:00:00,22:05:00,0,BAM,BERHAMPUR,ECoR,PSA,PALASA,ECoR
18447,BBS-JDB HIRA,12,BAM,BERHAMPUR,ECoR,22:20:00,22:25:00,165,BBS,BHUBANESWAR,ECoR,JDB,JAGADALPUR,ECoR
58411,BBS-BAM PASS,27,BAM,BERHAMPUR,ECoR,14:15:00,14:15:00,165,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58419,BBS-PSA PASS,27,BAM,BERHAMPUR,ECoR,22:40:00,22:45:00,165,BBS,BHUBANESWAR,ECoR,PSA,PALASA,ECoR
78503,BBS-BAM PASS,28,BAM,BERHAMPUR,ECoR,21:50:00,00:00:00,165,BBS,BHUBANESWAR,ECoR,BAM,BERHAMPUR,ECoR
58433,CTC-BAM FAST,18,BAM,BERHAMPUR,ECoR,21:25:00,21:25:00,192,CTC,CUTTACK JN.,ECoR,BAM,BERHAMPUR,ECoR
58533,CTC-PSA PASS,34,BAM,BERHAMPUR,ECoR,20:40:00,20:45:00,192,CTC,CUTTACK JN.,ECoR,PSA,PALASA,ECoR
58418,GNPR-PURI PA,26,BAM,BERHAMPUR,ECoR,11:50:00,11:55:00,189,GNPR,GUNUPUR,ECoR,PURI,PURI,ECoR
18448,JDB-BBS HIRA,30,BAM,BERHAMPUR,ECoR,04:55:00,05:00:00,618,JDB,JAGADALPUR,ECoR,BBS,BHUBANESWAR,ECoR
58420,PSA-BBS PASS,10,BAM,BERHAMPUR,ECoR,07:00:00,07:05:00,73,PSA,PALASA,ECoR,BBS,BHUBANESWAR,ECoR
58534,PSA-CTC PASS,10,BAM,BERHAMPUR,ECoR,05:40:00,05:45:00,73,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
58417,PURI-GNPR PA,34,BAM,BERHAMPUR,ECoR,12:35:00,12:40:00,190,PURI,PURI,ECoR,GNPR,GUNUPUR,ECoR
18304,PURI-SBP INT,12,BAMR,BAMUR,ECR,20:35:00,20:37:00,253,PURI,PURI,ECoR,SBP,SAMBALPUR JN.,ECoR
18303,SBP-PURI INT,5,BAMR,BAMUR,ECR,07:15:00,07:17:00,86,SBP,SAMBALPUR JN.,ECoR,PURI,PURI,ECoR
78505,BAM-PSA PASS,7,BAV,BARUVA,ECR,22:57:00,22:58:00,51,BAM,BERHAMPUR,ECoR,PSA,PALASA,ECoR
58419,BBS-PSA PASS,33,BAV,BARUVA,ECR,23:37:00,23:38:00,217,BBS,BHUBANESWAR,ECoR,PSA,PALASA,ECoR
58533,CTC-PSA PASS,40,BAV,BARUVA,ECR,21:40:00,21:41:00,244,CTC,CUTTACK JN.,ECoR,PSA,PALASA,ECoR
58418,GNPR-PURI PA,20,BAV,BARUVA,ECR,10:58:00,10:59:00,137,GNPR,GUNUPUR,ECoR,PURI,PURI,ECoR
58420,PSA-BBS PASS,4,BAV,BARUVA,ECR,06:07:00,06:08:00,22,PSA,PALASA,ECoR,BBS,BHUBANESWAR,ECoR
58534,PSA-CTC PASS,4,BAV,BARUVA,ECR,04:48:00,04:49:00,22,PSA,PALASA,ECoR,CTC,CUTTACK JN.,ECoR
58417,PURI-GNPR PA,40,BAV,BARUVA,ECR,13:32:00,13:33:00,242,PURI,PURI,ECoR,GNPR,GUNUPUR,ECoR
58421,ANGL-PURI PA,23,BBS,BHUBANESWAR,ECoR,09:05:00,09:10:00,134,ANGL,ANGUL,ECoR,PURI,PURI,ECoR
