Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
61632,BINA- BPL ME,5,BET,BARETH,WCR,18:30:00,18:31:00,35,BINA,BINA,WCR,BPL,BHOPAL,WCR
11272,VINDHYACHAL,7,BET,BARETH,WCR,19:52:00,19:53:00,102,BPL,BHOPAL,WCR,ET,ITARSI,WCR
61631,BPL BINA MEM,12,BET,BARETH,WCR,11:00:00,11:01:00,102,BPL,BHOPAL,WCR,BINA,BINA,WCR
51701,JBP REWA PAS,24,BGHI,BAGAHAI ROAD,WCR,11:58:00,12:00:00,218,JBP,JABALPUR,WCR,REWA,REWA,WCR
51702,REWA JBP PAS,3,BGHI,BAGAHAI ROAD,WCR,14:38:00,14:40:00,20,REWA,REWA,WCR,JBP,JABALPUR,WCR
11272,VINDHYACHAL,44,BGTA,BAGRATAWA,WCR,10:28:00,10:30:00,711,BPL,BHOPAL,WCR,ET,ITARSI,WCR
51671,ET-KTE FAST,4,BGTA,BAGRATAWA,WCR,04:57:00,04:58:00,26,ET,ITARSI,WCR,STA,SATNA,WCR
51673,ET -STA  FAS,4,BGTA,BAGRATAWA,WCR,04:33:00,04:34:00,26,ET,ITARSI,WCR,STA,SATNA,WCR
51672,KTE-ET FAST,41,BGTA,BAGRATAWA,WCR,19:59:00,20:00:00,407,STA,SATNA,WCR,ET,ITARSI,WCR
51674,STA-ET PASSE,37,BGTA,BAGRATAWA,WCR,23:03:00,23:05:00,407,STA,SATNA,WCR,ET,ITARSI,WCR
61632,BINA- BPL ME,11,BHS,VIDISHA,WCR,19:25:00,19:27:00,85,BINA,BINA,WCR,BPL,BHOPAL,WCR
2196,BPL-REWA SF,2,BHS,VIDISHA,WCR,00:30:00,00:32:00,53,BPL,BHOPAL,WCR,REWA,REWA,WCR
11272,VINDHYACHAL,4,BHS,VIDISHA,WCR,19:02:00,19:04:00,53,BPL,BHOPAL,WCR,ET,ITARSI,WCR
22161,BHOPAL-DAMOH,2,BHS,VIDISHA,WCR,18:32:00,18:34:00,53,BPL,BHOPAL,WCR,DMO,DAMOH,WCR
61631,BPL BINA MEM,6,BHS,VIDISHA,WCR,10:03:00,10:05:00,53,BPL,BHOPAL,WCR,BINA,BINA,WCR
22162,DAMOH-BHOPAL,10,BHS,VIDISHA,WCR,08:49:00,08:51:00,239,DMO,DAMOH,WCR,BPL,BHOPAL,WCR
12185,HBJ-REWA REW,3,BHS,VIDISHA,WCR,22:51:00,22:53:00,59,HBJ,HABIBGANJ,WCR,REWA,REWA,WCR
2195,REWA-BPL SF,9,BHS,VIDISHA,WCR,21:50:00,21:52:00,498,REWA,REWA,WCR,BPL,BHOPAL,WCR
12186,REWA-HBJ REW,13,BHS,VIDISHA,WCR,04:39:00,04:41:00,498,REWA,REWA,WCR,HBJ,HABIBGANJ,WCR
11272,VINDHYACHAL,30,BHTN,BHITONI,WCR,06:53:00,06:55:00,522,BPL,BHOPAL,WCR,ET,ITARSI,WCR
51671,ET-KTE FAST,22,BHTN,BHITONI,WCR,08:54:00,08:56:00,215,ET,ITARSI,WCR,STA,SATNA,WCR
51673,ET -STA  FAS,22,BHTN,BHITONI,WCR,07:51:00,07:52:00,215,ET,ITARSI,WCR,STA,SATNA,WCR
51672,KTE-ET FAST,23,BHTN,BHITONI,WCR,16:09:00,16:10:00,218,STA,SATNA,WCR,ET,ITARSI,WCR
51674,STA-ET PASSE,19,BHTN,BHITONI,WCR,18:49:00,18:51:00,218,STA,SATNA,WCR,ET,ITARSI,WCR
51601,BINA-KMZ  PA,1,BINA,BINA,WCR,08:00:00,08:00:00,0,BINA,BINA,WCR,KMZ,KATNI MURWARA,WCR
51603,BINA-KTE PAS,1,BINA,BINA,WCR,13:30:00,13:30:00,0,BINA,BINA,WCR,KTE,KATNI,WCR
51607,BINA-GUNA PA,1,BINA,BINA,WCR,06:20:00,06:20:00,0,BINA,BINA,WCR,GUNA,GUNA,WCR
51609,BINA-GUNA PA,1,BINA,BINA,WCR,15:10:00,15:10:00,0,BINA,BINA,WCR,GUNA,GUNA,WCR
51612,BINA-KOTA PA,1,BINA,BINA,WCR,10:00:00,10:00:00,0,BINA,BINA,WCR,KOTA,KOTA,WCR
51885,BINA-DMO PAS,1,BINA,BINA,WCR,18:00:00,18:00:00,0,BINA,BINA,WCR,DMO,DAMOH,WCR
61632,BINA- BPL ME,1,BINA,BINA,WCR,17:45:00,17:45:00,0,BINA,BINA,WCR,BPL,BHOPAL,WCR
2196,BPL-REWA SF,3,BINA,BINA,WCR,01:50:00,01:55:00,138,BPL,BHOPAL,WCR,REWA,REWA,WCR
11272,VINDHYACHAL,10,BINA,BINA,WCR,20:50:00,21:00:00,138,BPL,BHOPAL,WCR,ET,ITARSI,WCR
22161,BHOPAL-DAMOH,5,BINA,BINA,WCR,19:55:00,20:00:00,138,BPL,BHOPAL,WCR,DMO,DAMOH,WCR
61631,BPL BINA MEM,16,BINA,BINA,WCR,12:20:00,12:20:00,138,BPL,BHOPAL,WCR,BINA,BINA,WCR
22162,DAMOH-BHOPAL,7,BINA,BINA,WCR,07:35:00,07:40:00,154,DMO,DAMOH,WCR,BPL,BHOPAL,WCR
51886,DMO-BINA PAS,18,BINA,BINA,WCR,09:20:00,09:20:00,154,DMO,DAMOH,WCR,BINA,BINA,WCR
51608,GUNA-BINA PA,17,BINA,BINA,WCR,12:40:00,12:40:00,118,GUNA,GUNA,WCR,BINA,BINA,WCR
51610,GUNA-BINA PA,17,BINA,BINA,WCR,21:55:00,21:55:00,118,GUNA,GUNA,WCR,BINA,BINA,WCR
12185,HBJ-REWA REW,6,BINA,BINA,WCR,00:20:00,00:25:00,144,HBJ,HABIBGANJ,WCR,REWA,REWA,WCR
51602,KMZ-BINA PAS,31,BINA,BINA,WCR,21:50:00,21:50:00,264,KMZ,KATNI MURWARA,WCR,BINA,BINA,WCR
51611,KOTA-BINA PA,38,BINA,BINA,WCR,17:05:00,17:05:00,303,KOTA,KOTA,WCR,BINA,BINA,WCR
51604,KTE-BINA PAS,32,BINA,BINA,WCR,00:40:00,00:40:00,266,KTE,KATNI,WCR,BINA,BINA,WCR
