Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
68010,CKP TATA PAS,8,ADTP,ADITYAPUR,SER,07:04:00,07:05:00,57,CKP,CHAKARADHARPUR,SER,TATA,TATANAGAR JN,SER
58110,GUA-TATA PAS,18,ADTP,ADITYAPUR,SER,18:53:00,18:54:00,142,GUA,GUA,SER,TATA,TATANAGAR JN,SER
78034,GUA- TATA PA,18,ADTP,ADITYAPUR,SER,22:21:00,22:22:00,142,GUA,GUA,SER,TATA,TATANAGAR JN,SER
68023,JGM-PRR MEMU,14,ADTP,ADITYAPUR,SER,07:14:00,07:15:00,103,JGM,JHARGRAM,SER,PRR,PURULIA JN.,SER
68024,PRR-JGM MEMU,14,ADTP,ADITYAPUR,SER,11:41:00,11:42:00,86,PRR,PURULIA JN.,SER,JGM,JHARGRAM,SER
18190,TATA-ROU-ALL,9,ADTP,ADITYAPUR,SER,08:45:00,08:46:00,154,ROU,ROURKELA,SER,TATA,TATANAGAR JN,SER
58103,TATA BBN PAS,2,ADTP,ADITYAPUR,SER,17:09:00,17:10:00,4,TATA,TATANAGAR JN,SER,BBN,BARBIL,SER
58109,TATA-GUA PAS,2,ADTP,ADITYAPUR,SER,07:39:00,07:40:00,4,TATA,TATANAGAR JN,SER,GUA,GUA,SER
68009,TATA CKP PAS,2,ADTP,ADITYAPUR,SER,18:53:00,18:54:00,4,TATA,TATANAGAR JN,SER,CKP,CHAKARADHARPUR,SER
78033,TATA - GUA P,2,ADTP,ADITYAPUR,SER,15:23:00,15:24:00,4,TATA,TATANAGAR JN,SER,GUA,GUA,SER
58118,GONDIA JSG P,3,AGN,AMGAON,SECR,05:25:00,05:27:00,22,G,GONDIA JN.,SER,JSG,JHARSUGUDA JN.,SER
58117,JSG GONDIA P,63,AGN,AMGAON,SECR,20:01:00,20:02:00,480,JSG,JHARSUGUDA JN.,SER,G,GONDIA JN.,SER
