Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
11030,Koyna Express,20:22:00,KOP,CR,27,C SHAHU M RAJ KOLHAPUR TERM,07:55:00,11029,CSTM,MUMBAI CST,518
11033,PUNE - DARBHANGA Gyan Ganga Exp,06:45:00,PUNE,CR,30,PUNE JN,16:15:00,11034,DBG,DARBHANGA JN,1948
11035,Dadar-Mysore Sharavati Express,21:45:00,DR,CR,15,MUMBAI DADAR CENTRAL,21:30:00,11036,MYS,MYSORE JN,1212
11036,Mysore-Dadar Sharavati Express,05:50:00,MYS,CR,35,MYSORE JN,06:15:00,11035,DR,MUMBAI DADAR CENTRAL,1212
11037,PUNE - GORAKHPUR Exp,01:15:00,PUNE,CR,0,PUNE JN,16:15:00,11038,GKP,GORAKHPUR JN,1771
11038,GORAKHPUR - PUNE Exp,04:05:00,GKP,CR,35,GORAKHPUR JN,15:30:00,11037,PUNE,PUNE JN,1771
11039,Maharashtra Express,20:15:00,KOP,CR,45,C SHAHU M RAJ KOLHAPUR TERM,15:30:00,11040,G,GONDIA JN,1346
11040,Maharashtra Express,12:45:00,G,CR,25,GONDIA JN,08:20:00,11039,KOP,C SHAHU M RAJ KOLHAPUR TERM,1346
11041,Mumbai - Chennai Express,16:45:00,CSTM,CR,45,MUMBAI CST,14:00:00,11042,MAS,CHENNAI CENTRAL,1283
11043,MUMBAI LTT - MADURAI Exp,12:30:00,LTT,CR,15,LOKMANYA TILAK TERM,00:15:00,11044,MDU,MADURAI JN,1702
11044,MADURAI - MUMBAI LTT Exp,05:45:00,MDU,CR,45,MADURAI JN,18:00:00,11043,LTT,LOKMANYA TILAK TERM,1702
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,12:00:00,KOP,CR,15,C SHAHU M RAJ KOLHAPUR TERM,23:45:00,11046,DHN,DHANBAD JN,2968
11047,Hubli Express,06:25:00,MRJ,CR,15,MIRAJ JN,00:10:00,11048,UBL,HUBLI JN,279
11048,Hubli Miraj Express,05:15:00,UBL,CR,15,HUBLI JN,23:00:00,11047,MRJ,MIRAJ JN,279
11049,Ahmedabad-Kolhapur Express,15:25:00,ADI,CR,55,AHMEDABAD JN,19:30:00,11050,KOP,C SHAHU M RAJ KOLHAPUR TERM,961
11050,Kolhapur-Ahmedabad Express,07:45:00,KOP,CR,55,C SHAHU M RAJ KOLHAPUR TERM,12:50:00,11049,ADI,AHMEDABAD JN,961
11051,Solapur-Kolhapur Express,14:15:00,SUR,CR,5,SOLAPUR JN,08:10:00,11052,KOP,C SHAHU M RAJ KOLHAPUR TERM,315
11052,Kolhapur Solapur Express,15:00:00,KOP,CR,15,C SHAHU M RAJ KOLHAPUR TERM,08:45:00,11051,SUR,SOLAPUR JN,315
11056,GORAKHPUR - MUMBAI LTT Exp,16:05:00,GKP,CR,40,GORAKHPUR JN,06:25:00,11055,LTT,LOKMANYA TILAK TERM,1733
11057,Dadar Amritsar Express,16:30:00,DR,CR,45,MUMBAI DADAR CENTRAL,23:45:00,11058,ASR,AMRITSAR JN,2037
11058,Amritsar Dadar Express,04:00:00,ASR,CR,30,AMRITSAR JN,08:30:00,11057,DR,MUMBAI DADAR CENTRAL,2037
11059,MUMBAI LTT - CHHAPRA Godan Exp,20:55:00,LTT,CR,0,LOKMANYA TILAK TERM,10:55:00,11060,CPR,CHHAPRA,1772
11060,CHHAPRA - MUMBAI LTT Godan Exp,16:05:00,CPR,CR,35,CHHAPRA,05:30:00,11059,LTT,LOKMANYA TILAK TERM,1772
11062,DARBHANGA - MUMBAI LTT Pawan Exp,03:45:00,DBG,CR,55,DARBHANGA JN,15:50:00,11061,LTT,LOKMANYA TILAK TERM,1791
58651,Ranchi Lohardaga Passenger,07:00:00,RNC,SER,30,RANCHI,05:30:00,58652,LAD,Lohardaga,67
4858,Jodhpur Pipar Road Passenger Special,19:28:00,JU,NWR,58,JODHPUR JN,18:30:00,4857,PPR,PIPAR ROAD JN,46
5305,Farrukhabad-KanpurAnwarganj Passenger,14:25:00,FBD,NER,25,FARRUKHABAD,11:00:00,5306,CPA,KANPUR ANWARGANJ,138
5306,KanpurAnwarganj-Farrukhabad Special,18:20:00,CPA,NER,25,KANPUR ANWARGANJ,14:55:00,5305,FBD,FARRUKHABAD,138
5650,Kamakhya - Mumbai LTT (Weekly) Special,22:45:00,KYQ,NFR,55,KAMAKHYA,15:50:00,5649,LTT,LOKMANYA TILAK TERM,2613
5697,Hill Queen Express,13:30:00,LMG,NFR,45,LUMDING JN,09:45:00,5698,LFG,Lower Haflong,104
5698,Hill Queen Express,17:30:00,LFG,NFR,45,Lower Haflong,13:45:00,5697,LMG,LUMDING JN,104
6002,Kollam-Chennai Central SF Special,03:40:00,QLN,SR,10,KOLLAM JN,11:30:00,6001,MAS,CHENNAI CENTRAL,858
6003,Chennai Central-Kollam Special,11:30:00,MAS,SR,45,CHENNAI CENTRAL,20:45:00,6002,QLN,KOLLAM JN,857
6004,Kollam-Chennai Central Special,10:45:00,QLN,SR,55,KOLLAM JN,17:50:00,6005,MAS,CHENNAI CENTRAL,857
6005,Chennai Central-Kollam SF Special,11:30:00,MAS,SR,45,CHENNAI CENTRAL,20:45:00,6006,QLN,KOLLAM JN,857
6006,Kollam-Chennai Central SF Special,10:45:00,QLN,SR,55,KOLLAM JN,17:50:00,6007,MAS,CHENNAI CENTRAL,857
6007,Chennai Central-Kollam SF Special,06:45:00,MAS,SR,30,CHENNAI CENTRAL,15:15:00,6008,QLN,KOLLAM JN,858
